DATE,LNU02000036
2000-01-01,12702
2000-02-01,12781
2000-03-01,12874
2000-04-01,13067
2000-05-01,12852
2000-06-01,13593
2000-07-01,13681
2000-08-01,13547
2000-09-01,13325
2000-10-01,13482
2000-11-01,13401
2000-12-01,13438
2001-01-01,13167
2001-02-01,13187
2001-03-01,13232
2001-04-01,13330
2001-05-01,13142
2001-06-01,13582
2001-07-01,13852
2001-08-01,13455
2001-09-01,13365
2001-10-01,13270
2001-11-01,13314
2001-12-01,13279
2002-01-01,12811
2002-02-01,13088
2002-03-01,12983
2002-04-01,13148
2002-05-01,13363
2002-06-01,13723
2002-07-01,13887
2002-08-01,13739
2002-09-01,13335
2002-10-01,13310
2002-11-01,13424
2002-12-01,13402
2003-01-01,13200
2003-02-01,13243
2003-03-01,13197
2003-04-01,13302
2003-05-01,13310
2003-06-01,13851
2003-07-01,13911
2003-08-01,13636
2003-09-01,13294
2003-10-01,13438
2003-11-01,13382
2003-12-01,13426
2004-01-01,13349
2004-02-01,13366
2004-03-01,13350
2004-04-01,13662
2004-05-01,13547
2004-06-01,14070
2004-07-01,14333
2004-08-01,14039
2004-09-01,13513
2004-10-01,13834
2004-11-01,13799
2004-12-01,13819
2005-01-01,13398
2005-02-01,13275
2005-03-01,13419
2005-04-01,13546
2005-05-01,13649
2005-06-01,14235
2005-07-01,14489
2005-08-01,14039
2005-09-01,13714
2005-10-01,13993
2005-11-01,13947
2005-12-01,13799
2006-01-01,13382
2006-02-01,13482
2006-03-01,13534
2006-04-01,13646
2006-05-01,13780
2006-06-01,14244
2006-07-01,14420
2006-08-01,14366
2006-09-01,13821
2006-10-01,13875
2006-11-01,13913
2006-12-01,14076
2007-01-01,13752
2007-02-01,13823
2007-03-01,13927
2007-04-01,13819
2007-05-01,13845
2007-06-01,14373
2007-07-01,14533
2007-08-01,14139
2007-09-01,13849
2007-10-01,13815
2007-11-01,14008
2007-12-01,13682
2008-01-01,13448
2008-02-01,13304
2008-03-01,13399
2008-04-01,13617
2008-05-01,13595
2008-06-01,14123
2008-07-01,14323
2008-08-01,13954
2008-09-01,13501
2008-10-01,13517
2008-11-01,13446
2008-12-01,13320
2009-01-01,12709
2009-02-01,12823
2009-03-01,12838
2009-04-01,12939
2009-05-01,12678
2009-06-01,13118
2009-07-01,13342
2009-08-01,13015
2009-09-01,12516
2009-10-01,12385
2009-11-01,12456
2009-12-01,12343
2010-01-01,12132
2010-02-01,12273
2010-03-01,12380
2010-04-01,12434
2010-05-01,12704
2010-06-01,13087
2010-07-01,13275
2010-08-01,13202
2010-09-01,12790
2010-10-01,12723
2010-11-01,12781
2010-12-01,12611
2011-01-01,12573
2011-02-01,12664
2011-03-01,12823
2011-04-01,12864
2011-05-01,12868
2011-06-01,13289
2011-07-01,13440
2011-08-01,13273
2011-09-01,13061
2011-10-01,13306
2011-11-01,13225
2011-12-01,13041
2012-01-01,12953
2012-02-01,13104
2012-03-01,13212
2012-04-01,13224
2012-05-01,13360
2012-06-01,13729
2012-07-01,13901
2012-08-01,13371
2012-09-01,13472
2012-10-01,13535
2012-11-01,13624
2012-12-01,13412
2013-01-01,13064
2013-02-01,13251
2013-03-01,13199
2013-04-01,13444
2013-05-01,13339
2013-06-01,13981
2013-07-01,14180
2013-08-01,13777
2013-09-01,13667
2013-10-01,13686
2013-11-01,13789
2013-12-01,13806
2014-01-01,13369
2014-02-01,13424
2014-03-01,13729
2014-04-01,13765
2014-05-01,13855
2014-06-01,14288
2014-07-01,14532
2014-08-01,14076
2014-09-01,13784
2014-10-01,14144
2014-11-01,14007
2014-12-01,13755
2015-01-01,13618
2015-02-01,13833
2015-03-01,13584
2015-04-01,13706
2015-05-01,13990
2015-06-01,14462
2015-07-01,14637
2015-08-01,14535
2015-09-01,13880
2015-10-01,14080
2015-11-01,13965
2015-12-01,13975
2016-01-01,13669
2016-02-01,13848
2016-03-01,13932
2016-04-01,13810
2016-05-01,14018
2016-06-01,14419
2016-07-01,14416
2016-08-01,14410
2016-09-01,13883
2016-10-01,13895
