DATE,LNU00000036
2000-01-01,18005
2000-02-01,18063
2000-03-01,18121
2000-04-01,18144
2000-05-01,18202
2000-06-01,18322
2000-07-01,18364
2000-08-01,18357
2000-09-01,18466
2000-10-01,18492
2000-11-01,18610
2000-12-01,18589
2001-01-01,18554
2001-02-01,18603
2001-03-01,18651
2001-04-01,18824
2001-05-01,18837
2001-06-01,18877
2001-07-01,18928
2001-08-01,18930
2001-09-01,19042
2001-10-01,19029
2001-11-01,19090
2001-12-01,19157
2002-01-01,19126
2002-02-01,19256
2002-03-01,19187
2002-04-01,19256
2002-05-01,19252
2002-06-01,19248
2002-07-01,19349
2002-08-01,19362
2002-09-01,19482
2002-10-01,19522
2002-11-01,19560
2002-12-01,19573
2003-01-01,19667
2003-02-01,19711
2003-03-01,19738
2003-04-01,19764
2003-05-01,19775
2003-06-01,19785
2003-07-01,19796
2003-08-01,19822
2003-09-01,19848
2003-10-01,19872
2003-11-01,19904
2003-12-01,19936
2004-01-01,20120
2004-02-01,20138
2004-03-01,20154
2004-04-01,20173
2004-05-01,20178
2004-06-01,20186
2004-07-01,20193
2004-08-01,20211
2004-09-01,20229
2004-10-01,20247
2004-11-01,20261
2004-12-01,20274
2005-01-01,20263
2005-02-01,20260
2005-03-01,20257
2005-04-01,20254
2005-05-01,20263
2005-06-01,20272
2005-07-01,20282
2005-08-01,20287
2005-09-01,20291
2005-10-01,20295
2005-11-01,20295
2005-12-01,20293
2006-01-01,20246
2006-02-01,20246
2006-03-01,20246
2006-04-01,20248
2006-05-01,20261
2006-06-01,20275
2006-07-01,20289
2006-08-01,20283
2006-09-01,20276
2006-10-01,20270
2006-11-01,20272
2006-12-01,20271
2007-01-01,20391
2007-02-01,20393
2007-03-01,20397
2007-04-01,20402
2007-05-01,20417
2007-06-01,20433
2007-07-01,20450
2007-08-01,20447
2007-09-01,20443
2007-10-01,20440
2007-11-01,20452
2007-12-01,20463
2008-01-01,20330
2008-02-01,20343
2008-03-01,20355
2008-04-01,20368
2008-05-01,20385
2008-06-01,20403
2008-07-01,20422
2008-08-01,20434
2008-09-01,20446
2008-10-01,20459
2008-11-01,20474
2008-12-01,20488
2009-01-01,20394
2009-02-01,20415
2009-03-01,20437
2009-04-01,20460
2009-05-01,20485
2009-06-01,20513
2009-07-01,20542
2009-08-01,20563
2009-09-01,20586
2009-10-01,20608
2009-11-01,20632
2009-12-01,20655
2010-01-01,20913
2010-02-01,20938
2010-03-01,20963
2010-04-01,20989
2010-05-01,21014
2010-06-01,21040
2010-07-01,21068
2010-08-01,21088
2010-09-01,21110
2010-10-01,21130
2010-11-01,21148
2010-12-01,21166
2011-01-01,21334
2011-02-01,21350
2011-03-01,21366
2011-04-01,21382
2011-05-01,21399
2011-06-01,21418
2011-07-01,21436
2011-08-01,21450
2011-09-01,21464
2011-10-01,21477
2011-11-01,21494
2011-12-01,21509
2012-01-01,21632
2012-02-01,21669
2012-03-01,21706
2012-04-01,21744
2012-05-01,21768
2012-06-01,21794
2012-07-01,21820
2012-08-01,21845
2012-09-01,21869
2012-10-01,21893
2012-11-01,21914
2012-12-01,21934
2013-01-01,21994
2013-02-01,22006
2013-03-01,22017
2013-04-01,22030
2013-05-01,22042
2013-06-01,22053
2013-07-01,22066
2013-08-01,22072
2013-09-01,22077
2013-10-01,22083
2013-11-01,22087
2013-12-01,22091
2014-01-01,22099
2014-02-01,22101
2014-03-01,22103
2014-04-01,22107
2014-05-01,22105
2014-06-01,22105
2014-07-01,22106
2014-08-01,22084
2014-09-01,22064
2014-10-01,22043
2014-11-01,22027
2014-12-01,22010
2015-01-01,22095
2015-02-01,22075
2015-03-01,22055
2015-04-01,22035
2015-05-01,22014
2015-06-01,21996
2015-07-01,21978
2015-08-01,21945
2015-09-01,21913
2015-10-01,21879
2015-11-01,21849
2015-12-01,21817
2016-01-01,21844
2016-02-01,21822
2016-03-01,21801
2016-04-01,21781
2016-05-01,21760
2016-06-01,21741
2016-07-01,21722
2016-08-01,21690
2016-09-01,21659
2016-10-01,21626
