DATE,LNU02000060
2000-01-01,97751
2000-02-01,97992
2000-03-01,98173
2000-04-01,98707
2000-05-01,98592
2000-06-01,98136
2000-07-01,97652
2000-08-01,97655
2000-09-01,98332
2000-10-01,98722
2000-11-01,98920
2000-12-01,98866
2001-01-01,98137
2001-02-01,98322
2001-03-01,98633
2001-04-01,98468
2001-05-01,98558
2001-06-01,97820
2001-07-01,97486
2001-08-01,97361
2001-09-01,97936
2001-10-01,97860
2001-11-01,97426
2001-12-01,97367
2002-01-01,96313
2002-02-01,96863
2002-03-01,96939
2002-04-01,97047
2002-05-01,97149
2002-06-01,96551
2002-07-01,96146
2002-08-01,96647
2002-09-01,97360
2002-10-01,97363
2002-11-01,96727
2002-12-01,96767
2003-01-01,96361
2003-02-01,96644
2003-03-01,97030
2003-04-01,97483
2003-05-01,97398
2003-06-01,97119
2003-07-01,96729
2003-08-01,96882
2003-09-01,97432
2003-10-01,97703
2003-11-01,97740
2003-12-01,97613
2004-01-01,96455
2004-02-01,96644
2004-03-01,96855
2004-04-01,97387
2004-05-01,97675
2004-06-01,97448
2004-07-01,97381
2004-08-01,97400
2004-09-01,98041
2004-10-01,98260
2004-11-01,98279
2004-12-01,97836
2005-01-01,97330
2005-02-01,97598
2005-03-01,97789
2005-04-01,98469
2005-05-01,98805
2005-06-01,98194
2005-07-01,98261
2005-08-01,98805
2005-09-01,99229
2005-10-01,99400
2005-11-01,99214
2005-12-01,99104
2006-01-01,98514
2006-02-01,98701
2006-03-01,99109
2006-04-01,99333
2006-05-01,99640
2006-06-01,99430
2006-07-01,99267
2006-08-01,99586
2006-09-01,100294
2006-10-01,100933
2006-11-01,100735
2006-12-01,100528
2007-01-01,100034
2007-02-01,99849
2007-03-01,100300
2007-04-01,100476
2007-05-01,100725
2007-06-01,100280
2007-07-01,99912
2007-08-01,100319
2007-09-01,100813
2007-10-01,100956
2007-11-01,101083
2007-12-01,100653
2008-01-01,99592
2008-02-01,99503
2008-03-01,99686
2008-04-01,100035
2008-05-01,99993
2008-06-01,99597
2008-07-01,99215
2008-08-01,99109
2008-09-01,99534
2008-10-01,99467
2008-11-01,98921
2008-12-01,97781
2009-01-01,95921
2009-02-01,95530
2009-03-01,95268
2009-04-01,95761
2009-05-01,95461
2009-06-01,95156
2009-07-01,94873
2009-08-01,94896
2009-09-01,94802
2009-10-01,95001
2009-11-01,95033
2009-12-01,94030
2010-01-01,93348
2010-02-01,93348
2010-03-01,93620
2010-04-01,94543
2010-05-01,94353
2010-06-01,94137
2010-07-01,93780
2010-08-01,94027
2010-09-01,94535
2010-10-01,94791
2010-11-01,94347
2010-12-01,94156
2011-01-01,92980
2011-02-01,93017
2011-03-01,93442
2011-04-01,93762
2011-05-01,94088
2011-06-01,93441
2011-07-01,93333
2011-08-01,93608
2011-09-01,93920
2011-10-01,94108
2011-11-01,94322
2011-12-01,94069
2012-01-01,93271
2012-02-01,93346
2012-03-01,93816
2012-04-01,94307
2012-05-01,94520
2012-06-01,94005
2012-07-01,93769
2012-08-01,94038
2012-09-01,94814
2012-10-01,95089
2012-11-01,94523
2012-12-01,94305
2013-01-01,93418
2013-02-01,93736
2013-03-01,94044
2013-04-01,94591
2013-05-01,94963
2013-06-01,94390
2013-07-01,94247
2013-08-01,94379
2013-09-01,94997
2013-10-01,94553
2013-11-01,94953
2013-12-01,94708
2014-01-01,94512
2014-02-01,94666
2014-03-01,95100
2014-04-01,95421
2014-05-01,95510
2014-06-01,95556
2014-07-01,95098
2014-08-01,95548
2014-09-01,96117
2014-10-01,96262
2014-11-01,96191
2014-12-01,95985
2015-01-01,95834
2015-02-01,96086
2015-03-01,96300
2015-04-01,96742
2015-05-01,96939
2015-06-01,96611
2015-07-01,96107
2015-08-01,96506
2015-09-01,97142
2015-10-01,97112
2015-11-01,97303
2015-12-01,96968
2016-01-01,97047
2016-02-01,97380
2016-03-01,97866
2016-04-01,97932
2016-05-01,98203
2016-06-01,97748
2016-07-01,97628
2016-08-01,97691
2016-09-01,98580
2016-10-01,98806
