DATE,LNU00000012
2000-01-01,16002
2000-02-01,16007
2000-03-01,16069
2000-04-01,15983
2000-05-01,15917
2000-06-01,15870
2000-07-01,15850
2000-08-01,15847
2000-09-01,15844
2000-10-01,15827
2000-11-01,15853
2000-12-01,15880
2001-01-01,15933
2001-02-01,15969
2001-03-01,15938
2001-04-01,15864
2001-05-01,15831
2001-06-01,15860
2001-07-01,15918
2001-08-01,15926
2001-09-01,15923
2001-10-01,15947
2001-11-01,16006
2001-12-01,16030
2002-01-01,16078
2002-02-01,16065
2002-03-01,16073
2002-04-01,16019
2002-05-01,16017
2002-06-01,15943
2002-07-01,15972
2002-08-01,15980
2002-09-01,15954
2002-10-01,15971
2002-11-01,15933
2002-12-01,15925
2003-01-01,16027
2003-02-01,16030
2003-03-01,16038
2003-04-01,16051
2003-05-01,16072
2003-06-01,16095
2003-07-01,16109
2003-08-01,16116
2003-09-01,16131
2003-10-01,16145
2003-11-01,16162
2003-12-01,16178
2004-01-01,16164
2004-02-01,16175
2004-03-01,16186
2004-04-01,16198
2004-05-01,16205
2004-06-01,16214
2004-07-01,16222
2004-08-01,16234
2004-09-01,16246
2004-10-01,16257
2004-11-01,16275
2004-12-01,16293
2005-01-01,16302
2005-02-01,16317
2005-03-01,16332
2005-04-01,16347
2005-05-01,16364
2005-06-01,16381
2005-07-01,16399
2005-08-01,16421
2005-09-01,16443
2005-10-01,16465
2005-11-01,16489
2005-12-01,16511
2006-01-01,16515
2006-02-01,16545
2006-03-01,16575
2006-04-01,16606
2006-05-01,16637
2006-06-01,16668
2006-07-01,16700
2006-08-01,16725
2006-09-01,16751
2006-10-01,16776
2006-11-01,16804
2006-12-01,16829
2007-01-01,16891
2007-02-01,16908
2007-03-01,16927
2007-04-01,16948
2007-05-01,16962
2007-06-01,16977
2007-07-01,16993
2007-08-01,17009
2007-09-01,17024
2007-10-01,17040
2007-11-01,17048
2007-12-01,17056
2008-01-01,17012
2008-02-01,17027
2008-03-01,17041
2008-04-01,17056
2008-05-01,17064
2008-06-01,17073
2008-07-01,17084
2008-08-01,17092
2008-09-01,17101
2008-10-01,17110
2008-11-01,17118
2008-12-01,17126
2009-01-01,17098
2009-02-01,17090
2009-03-01,17083
2009-04-01,17076
2009-05-01,17064
2009-06-01,17053
2009-07-01,17044
2009-08-01,17031
2009-09-01,17020
2009-10-01,17008
2009-11-01,16988
2009-12-01,16967
2010-01-01,17038
2010-02-01,17012
2010-03-01,16987
2010-04-01,16962
2010-05-01,16932
2010-06-01,16904
2010-07-01,16877
2010-08-01,16857
2010-09-01,16839
2010-10-01,16819
2010-11-01,16800
2010-12-01,16780
2011-01-01,16863
2011-02-01,16845
2011-03-01,16827
2011-04-01,16809
2011-05-01,16792
2011-06-01,16776
2011-07-01,16760
2011-08-01,16749
2011-09-01,16739
2011-10-01,16728
2011-11-01,16711
2011-12-01,16693
2012-01-01,17100
2012-02-01,17078
2012-03-01,17056
2012-04-01,17034
2012-05-01,17015
2012-06-01,16997
2012-07-01,16979
2012-08-01,16955
2012-09-01,16931
2012-10-01,16907
2012-11-01,16890
2012-12-01,16871
2013-01-01,16867
2013-02-01,16854
2013-03-01,16840
2013-04-01,16827
2013-05-01,16816
2013-06-01,16805
2013-07-01,16795
2013-08-01,16770
2013-09-01,16745
2013-10-01,16721
2013-11-01,16710
2013-12-01,16700
2014-01-01,16671
2014-02-01,16664
2014-03-01,16658
2014-04-01,16652
2014-05-01,16644
2014-06-01,16636
2014-07-01,16629
2014-08-01,16622
2014-09-01,16615
2014-10-01,16608
2014-11-01,16602
2014-12-01,16595
2015-01-01,16636
2015-02-01,16630
2015-03-01,16624
2015-04-01,16619
2015-05-01,16615
2015-06-01,16613
2015-07-01,16611
2015-08-01,16611
2015-09-01,16612
2015-10-01,16612
2015-11-01,16619
2015-12-01,16624
2016-01-01,16651
2016-02-01,16666
2016-03-01,16682
2016-04-01,16699
2016-05-01,16708
2016-06-01,16718
2016-07-01,16728
2016-08-01,16732
2016-09-01,16737
2016-10-01,16741
