DATE,LNU00000060
2000-01-01,120252
2000-02-01,120264
2000-03-01,120237
2000-04-01,120319
2000-05-01,120534
2000-06-01,120546
2000-07-01,120716
2000-08-01,120847
2000-09-01,120843
2000-10-01,121056
2000-11-01,121072
2000-12-01,121191
2001-01-01,121330
2001-02-01,121340
2001-03-01,121477
2001-04-01,121555
2001-05-01,121556
2001-06-01,121579
2001-07-01,121616
2001-08-01,121740
2001-09-01,121735
2001-10-01,121771
2001-11-01,121769
2001-12-01,121779
2002-01-01,121880
2002-02-01,121814
2002-03-01,121912
2002-04-01,121913
2002-05-01,121988
2002-06-01,122114
2002-07-01,122103
2002-08-01,122201
2002-09-01,122234
2002-10-01,122213
2002-11-01,122264
2002-12-01,122284
2003-01-01,122930
2003-02-01,123006
2003-03-01,123046
2003-04-01,123125
2003-05-01,123172
2003-06-01,123231
2003-07-01,123317
2003-08-01,123379
2003-09-01,123469
2003-10-01,123523
2003-11-01,123595
2003-12-01,123676
2004-01-01,123095
2004-02-01,123150
2004-03-01,123208
2004-04-01,123262
2004-05-01,123301
2004-06-01,123373
2004-07-01,123426
2004-08-01,123496
2004-09-01,123564
2004-10-01,123607
2004-11-01,123686
2004-12-01,123751
2005-01-01,123764
2005-02-01,123813
2005-03-01,123877
2005-04-01,123941
2005-05-01,124017
2005-06-01,124121
2005-07-01,124194
2005-08-01,124270
2005-09-01,124382
2005-10-01,124472
2005-11-01,124582
2005-12-01,124671
2006-01-01,124579
2006-02-01,124637
2006-03-01,124661
2006-04-01,124711
2006-05-01,124756
2006-06-01,124805
2006-07-01,124881
2006-08-01,124974
2006-09-01,125045
2006-10-01,125113
2006-11-01,125201
2006-12-01,125244
2007-01-01,125387
2007-02-01,125456
2007-03-01,125488
2007-04-01,125550
2007-05-01,125581
2007-06-01,125620
2007-07-01,125715
2007-08-01,125791
2007-09-01,125867
2007-10-01,125916
2007-11-01,125978
2007-12-01,126009
2008-01-01,125396
2008-02-01,125440
2008-03-01,125474
2008-04-01,125506
2008-05-01,125563
2008-06-01,125627
2008-07-01,125699
2008-08-01,125742
2008-09-01,125801
2008-10-01,125812
2008-11-01,125857
2008-12-01,125904
2009-01-01,125461
2009-02-01,125498
2009-03-01,125493
2009-04-01,125491
2009-05-01,125513
2009-06-01,125533
2009-07-01,125604
2009-08-01,125617
2009-09-01,125637
2009-10-01,125644
2009-11-01,125647
2009-12-01,125640
2010-01-01,125156
2010-02-01,125178
2010-03-01,125191
2010-04-01,125192
2010-05-01,125249
2010-06-01,125268
2010-07-01,125326
2010-08-01,125337
2010-09-01,125354
2010-10-01,125407
2010-11-01,125415
2010-12-01,125410
2011-01-01,124628
2011-02-01,124647
2011-03-01,124644
2011-04-01,124658
2011-05-01,124727
2011-06-01,124738
2011-07-01,124771
2011-08-01,124756
2011-09-01,124728
2011-10-01,124743
2011-11-01,124722
2011-12-01,124690
2012-01-01,124356
2012-02-01,124341
2012-03-01,124323
2012-04-01,124357
2012-05-01,124363
2012-06-01,124355
2012-07-01,124372
2012-08-01,124308
2012-09-01,124259
2012-10-01,124270
2012-11-01,124248
2012-12-01,124219
2013-01-01,124357
2013-02-01,124354
2013-03-01,124343
2013-04-01,124380
2013-05-01,124388
2013-06-01,124406
2013-07-01,124401
2013-08-01,124409
2013-09-01,124465
2013-10-01,124461
2013-11-01,124474
2013-12-01,124438
2014-01-01,124453
2014-02-01,124439
2014-03-01,124410
2014-04-01,124453
2014-05-01,124442
2014-06-01,124478
2014-07-01,124500
2014-08-01,124549
2014-09-01,124587
2014-10-01,124607
2014-11-01,124612
2014-12-01,124597
2015-01-01,124974
2015-02-01,124959
2015-03-01,124949
2015-04-01,124970
2015-05-01,125015
2015-06-01,125085
2015-07-01,125147
2015-08-01,125210
2015-09-01,125238
2015-10-01,125241
2015-11-01,125258
2015-12-01,125258
2016-01-01,125536
2016-02-01,125570
2016-03-01,125614
2016-04-01,125635
2016-05-01,125674
2016-06-01,125716
2016-07-01,125771
2016-08-01,125852
2016-09-01,125896
2016-10-01,125928
