DATE,LNU02000012
2000-01-01,6666
2000-02-01,6703
2000-03-01,6786
2000-04-01,6965
2000-05-01,7076
2000-06-01,8163
2000-07-01,8474
2000-08-01,7933
2000-09-01,6752
2000-10-01,6873
2000-11-01,6859
2000-12-01,7023
2001-01-01,6511
2001-02-01,6558
2001-03-01,6568
2001-04-01,6448
2001-05-01,6506
2001-06-01,7630
2001-07-01,8190
2001-08-01,7073
2001-09-01,6341
2001-10-01,6424
2001-11-01,6361
2001-12-01,6267
2002-01-01,5843
2002-02-01,5986
2002-03-01,6108
2002-04-01,5959
2002-05-01,6120
2002-06-01,7105
2002-07-01,7615
2002-08-01,6914
2002-09-01,6131
2002-10-01,6232
2002-11-01,5973
2002-12-01,5992
2003-01-01,5612
2003-02-01,5637
2003-03-01,5512
2003-04-01,5570
2003-05-01,5722
2003-06-01,6581
2003-07-01,7039
2003-08-01,6546
2003-09-01,5615
2003-10-01,5701
2003-11-01,5780
2003-12-01,5709
2004-01-01,5503
2004-02-01,5475
2004-03-01,5402
2004-04-01,5522
2004-05-01,5690
2004-06-01,6517
2004-07-01,7114
2004-08-01,6621
2004-09-01,5645
2004-10-01,5775
2004-11-01,5816
2004-12-01,5800
2005-01-01,5460
2005-02-01,5395
2005-03-01,5570
2005-04-01,5524
2005-05-01,5707
2005-06-01,6714
2005-07-01,7260
2005-08-01,6775
2005-09-01,5789
2005-10-01,5801
2005-11-01,5803
2005-12-01,5934
2006-01-01,5620
2006-02-01,5700
2006-03-01,5757
2006-04-01,5760
2006-05-01,5990
2006-06-01,7023
2006-07-01,7494
2006-08-01,6801
2006-09-01,5783
2006-10-01,5978
2006-11-01,5989
2006-12-01,6052
2007-01-01,5656
2007-02-01,5592
2007-03-01,5611
2007-04-01,5549
2007-05-01,5611
2007-06-01,6725
2007-07-01,7184
2007-08-01,6274
2007-09-01,5649
2007-10-01,5749
2007-11-01,5652
2007-12-01,5679
2008-01-01,5277
2008-02-01,5242
2008-03-01,5347
2008-04-01,5544
2008-05-01,5660
2008-06-01,6343
2008-07-01,6698
2008-08-01,6142
2008-09-01,5317
2008-10-01,5239
2008-11-01,5008
2008-12-01,5058
2009-01-01,4758
2009-02-01,4783
2009-03-01,4726
2009-04-01,4799
2009-05-01,4910
2009-06-01,5608
2009-07-01,5962
2009-08-01,5255
2009-09-01,4456
2009-10-01,4287
2009-11-01,4233
2009-12-01,4272
2010-01-01,4034
2010-02-01,4139
2010-03-01,4207
2010-04-01,4330
2010-05-01,4336
2010-06-01,4833
2010-07-01,5290
2010-08-01,4859
2010-09-01,4084
2010-10-01,4144
2010-11-01,4165
2010-12-01,4116
2011-01-01,3939
2011-02-01,3974
2011-03-01,4075
2011-04-01,4106
2011-05-01,4177
2011-06-01,4891
2011-07-01,5193
2011-08-01,4794
2011-09-01,4177
2011-10-01,4226
2011-11-01,4177
2011-12-01,4193
2012-01-01,3990
2012-02-01,4046
2012-03-01,4089
2012-04-01,4163
2012-05-01,4320
2012-06-01,5178
2012-07-01,5560
2012-08-01,4800
2012-09-01,4215
2012-10-01,4306
2012-11-01,4252
2012-12-01,4192
2013-01-01,4120
2013-02-01,4006
2013-03-01,4072
2013-04-01,4149
2013-05-01,4364
2013-06-01,5143
2013-07-01,5504
2013-08-01,4859
2013-09-01,4376
2013-10-01,4289
2013-11-01,4315
2013-12-01,4300
2014-01-01,4003
2014-02-01,3933
2014-03-01,4209
2014-04-01,4256
2014-05-01,4473
2014-06-01,5134
2014-07-01,5553
2014-08-01,4896
2014-09-01,4321
2014-10-01,4637
2014-11-01,4569
2014-12-01,4592
2015-01-01,4294
2015-02-01,4389
2015-03-01,4491
2015-04-01,4536
2015-05-01,4718
2015-06-01,5327
2015-07-01,5696
2015-08-01,5042
2015-09-01,4476
2015-10-01,4574
2015-11-01,4520
2015-12-01,4745
2016-01-01,4490
2016-02-01,4608
2016-03-01,4648
2016-04-01,4701
2016-05-01,4857
2016-06-01,5548
2016-07-01,6040
2016-08-01,5466
2016-09-01,4810
2016-10-01,4800
